Dataset,Horizon,Our_MSE,Paper_MSE,MSE_Diff_%,Our_MAE,Paper_MAE,MAE_Diff_%
ETTh1,96,7.816204786300659,0.375,1984.3212763468425,2.162977865764073,0.398,443.4617753176062
ETTh1,192,9.069724764142718,0.412,2101.3895058598832,2.323136704308646,0.422,450.50632803522416
ETTh1,336,8.951324462890625,0.435,1957.7757385955458,2.3209168910980225,0.433,436.0085198840698
ETTh1,720,11.966665744781494,0.454,2535.8294592029724,2.7387999296188354,0.465,488.98923217609365
ETTh2,96,34.94162722996303,0.27,12841.343418504826,4.502339329038348,0.336,1239.9819431661747
ETTh2,192,41.02712631225586,0.332,12257.568166342126,4.9786112649100165,0.38,1210.1608591868464
ETTh2,336,43.74479184831892,0.36,12051.331068977479,5.170059170041766,0.407,1170.2848083640702
ETTh2,720,64.51300239562988,0.419,15296.897946451048,6.418729782104492,0.451,1323.2216811761625
ETTm1,96,3.396985113620758,0.306,1010.1258541244308,1.342913800052234,0.349,284.7890544562275
ETTm1,192,5.388339364970172,0.335,1508.4595119313944,1.7157476080788507,0.366,368.7834994750958
ETTm1,336,7.697231270648815,0.364,2014.6239754529713,2.078056938118405,0.384,441.16066096833464
ETTm1,720,10.31435340642929,0.413,2397.4221323073343,2.466332027545342,0.413,497.1748250715114
ETTm2,96,15.649644723960332,0.161,9620.276226062317,2.7344600430556705,0.251,989.4263119743707
ETTm2,192,25.426679681848597,0.215,11726.362642720278,3.635518290378429,0.289,1157.9648063593181
ETTm2,336,36.94631781401458,0.267,13737.57221498673,4.447599525804873,0.326,1264.2943330689795
ETTm2,720,50.341064379765434,0.352,14201.438744251544,5.3797025222044725,0.383,1304.6220684606976
