Dataset,Horizon,MSE,MAE,Num_Params
ETTh1,24,4.119793142591204,1.5540623835154943,798298
ETTh1,48,5.711394718715122,1.8452393497739519,948850
ETTh1,96,7.816204786300659,2.162977865764073,1249954
ETTh1,192,9.069724764142718,2.323136704308646,1852162
ETTh1,336,8.951324462890625,2.3209168910980225,2755474
ETTh1,720,11.966665744781494,2.7387999296188354,5164306
ETTh2,24,17.22307777404785,3.0403635501861572,2969042
ETTh2,48,25.003782272338867,3.746950694492885,3859178
ETTh2,96,34.94162722996303,4.502339329038348,5639450
ETTh2,192,41.02712631225586,4.9786112649100165,9199994
ETTh2,336,43.74479184831892,5.170059170041766,14540810
ETTh2,720,64.51300239562988,6.418729782104492,28782986
ETTm1,24,1.4405402860471181,0.8403162828513554,3694424
ETTm1,48,2.247090141688074,1.0640913035188402,4287344
ETTm1,96,3.396985113620758,1.342913800052234,5473184
ETTm1,192,5.388339364970172,1.7157476080788507,7844864
ETTm1,336,7.697231270648815,2.078056938118405,11402384
ETTm1,720,10.31435340642929,2.466332027545342,20889104
ETTm2,24,5.030694821051189,1.4251074535506112,2576482
ETTm2,48,10.67247063773019,2.1291699154036388,3071866
ETTm2,96,15.649644723960332,2.7344600430556705,4062634
ETTm2,192,25.426679681848597,3.635518290378429,6044170
ETTm2,336,36.94631781401458,4.447599525804873,9016474
ETTm2,720,50.341064379765434,5.3797025222044725,16942618
